timestamp,x,y
20240725144318.909,396,-5
20240725144318.948,450,-134
20240725144318.984,552,-227
20240725144319.022,653,-245
20240725144319.060,732,-221
20240725144319.094,779,-124
20240725144319.129,767,-18
20240725144319.163,703,85
20240725144319.201,605,172
20240725144319.239,529,192
20240725144319.277,488,175
20240725144319.315,445,93
20240725144319.348,434,-27
20240725144319.384,470,-249
20240725144319.421,517,-330
20240725144319.454,574,-351
20240725144319.492,625,-319
20240725144319.530,660,-204
20240725144319.564,662,-120
20240725144319.601,632,-28
20240725144319.635,586,53
20240725144319.673,533,123
20240725144319.707,505,138
20240725144319.741,474,140
20240725144319.779,444,110
20240725144319.817,430,-20
20240725144319.855,499,-354
20240725144319.888,598,-481
20240725144319.926,722,-509
20240725144319.964,819,-412
20240725144319.997,868,-179
20240725144320.035,825,84
20240725144320.070,785,150
20240725144320.108,771,163
20240725144320.146,771,163
20240725144320.184,771,163
20240725144320.219,771,163
20240725144320.256,771,163
20240725144320.294,771,163
20240725144320.330,758,160
20240725144320.365,695,101
20240725144320.403,663,-93
20240725144320.440,706,-246
20240725144320.475,776,-304
20240725144320.513,910,-302
20240725144320.551,1010,-219
20240725144320.589,1018,-66
20240725144320.627,918,96
20240725144320.665,586,416
20240725144320.701,397,551
20240725144320.739,329,565
20240725144320.774,300,316
20240725144320.812,441,-112
20240725144320.850,636,-352
20240725144320.884,792,-397
20240725144320.922,907,-335
20240725144320.960,940,-130
20240725144320.998,794,183
20240725144321.036,602,403
20240725144321.070,427,533
20240725144321.108,344,531
20240725144321.143,330,186
20240725144321.181,455,-173
20240725144321.214,638,-362
20240725144321.247,767,-371
20240725144321.281,853,-294
20240725144321.314,882,-128
20240725144321.352,805,100
20240725144321.386,638,324
20240725144321.424,487,467
20240725144321.462,408,474
20240725144321.495,365,240
20240725144321.533,410,-209
20240725144321.571,548,-482
20240725144321.607,745,-539
20240725144321.645,893,-390
20240725144321.679,922,-205
20240725144321.717,837,62
20240725144321.754,667,288
20240725144321.789,510,379
20240725144321.827,438,380
20240725144321.862,370,246
